tweet_link,tweet,slug,tag,phrase,start,end
http://twitter.com/realDonaldTrump/status/689458393283563524,"Dope Frank Bruni said I called many people, including Karl Rove, losers-true! I never called my friend @HowardStern a loser- he’s a winner!",frank-bruni,entity,Frank Bruni,5.0,16.0
http://twitter.com/realDonaldTrump/status/689458393283563524,"Dope Frank Bruni said I called many people, including Karl Rove, losers-true! I never called my friend @HowardStern a loser- he’s a winner!",frank-bruni,insult,dope,-1.0,3.0
http://twitter.com/realDonaldTrump/status/689458393283563524,"Dope Frank Bruni said I called many people, including Karl Rove, losers-true! I never called my friend @HowardStern a loser- he’s a winner!",karl-rove,entity,Karl Rove,54.0,63.0
http://twitter.com/realDonaldTrump/status/689458393283563524,"Dope Frank Bruni said I called many people, including Karl Rove, losers-true! I never called my friend @HowardStern a loser- he’s a winner!",karl-rove,insult,loser,65.0,70.0
http://twitter.com/realDonaldTrump/status/689458468835569664,Really disgusting that the failing New York Times allows dishonest writers to totally fabricate stories.,the-new-york-times,accusation,allows dishonest writers to totally fabricate stories,50.0,103.0
http://twitter.com/realDonaldTrump/status/689458468835569664,Really disgusting that the failing New York Times allows dishonest writers to totally fabricate stories.,the-new-york-times,entity,the,23.0,26.0
http://twitter.com/realDonaldTrump/status/689458468835569664,Really disgusting that the failing New York Times allows dishonest writers to totally fabricate stories.,the-new-york-times,insult,failing,27.0,34.0
http://twitter.com/realDonaldTrump/status/689519657414320128,"Wow, the highly respected Governor of Iowa just stated that ""Ted Cruz must be defeated."" Big shoker! People do not like Ted.",ted-cruz,entity,Ted Cruz,61.0,69.0
http://twitter.com/realDonaldTrump/status/689519657414320128,"Wow, the highly respected Governor of Iowa just stated that ""Ted Cruz must be defeated."" Big shoker! People do not like Ted.",ted-cruz,insult,people do not like Ted,-1.0,21.0
http://twitter.com/realDonaldTrump/status/690912264094781440,"I am in Iowa watching all of these phony T.V. ads by the other candidates. All bull, politicians are all talk and no action-it won't happen!",presidential-candidates,entity,candidates,63.0,73.0
http://twitter.com/realDonaldTrump/status/690912264094781440,"I am in Iowa watching all of these phony T.V. ads by the other candidates. All bull, politicians are all talk and no action-it won't happen!",presidential-candidates,insult,phony,35.0,40.0
http://twitter.com/realDonaldTrump/status/690912264094781440,"I am in Iowa watching all of these phony T.V. ads by the other candidates. All bull, politicians are all talk and no action-it won't happen!",presidential-candidates,insult,phony,14.0,27.0
http://twitter.com/realDonaldTrump/status/690912264094781440,"I am in Iowa watching all of these phony T.V. ads by the other candidates. All bull, politicians are all talk and no action-it won't happen!",presidential-candidates,insult,all talk and no action,101.0,123.0
http://twitter.com/realDonaldTrump/status/690940712578195457,"Failing @GlennBeck lost all credibility. Not only was he fired @ FOX, he would have voted for Clinton over McCain. https://t.co/dfCOkb7Ex8",glenn-beck,entity,Glenn,9.0,14.0
http://twitter.com/realDonaldTrump/status/690940712578195457,"Failing @GlennBeck lost all credibility. Not only was he fired @ FOX, he would have voted for Clinton over McCain. https://t.co/dfCOkb7Ex8",glenn-beck,insult,failing,-1.0,6.0
http://twitter.com/realDonaldTrump/status/690940712578195457,"Failing @GlennBeck lost all credibility. Not only was he fired @ FOX, he would have voted for Clinton over McCain. https://t.co/dfCOkb7Ex8",glenn-beck,insult,lost all credibility,19.0,39.0
http://twitter.com/realDonaldTrump/status/691068215342952448,Word is that crying @GlennBeck left the GOP and doesn't have the right to vote in the Republican primary. Dumb as a rock.,glenn-beck,entity,Glenn,21.0,26.0
http://twitter.com/realDonaldTrump/status/691068215342952448,Word is that crying @GlennBeck left the GOP and doesn't have the right to vote in the Republican primary. Dumb as a rock.,glenn-beck,insult,crying,13.0,19.0
http://twitter.com/realDonaldTrump/status/691068215342952448,Word is that crying @GlennBeck left the GOP and doesn't have the right to vote in the Republican primary. Dumb as a rock.,glenn-beck,insult,dumb as a rock,-1.0,13.0
http://twitter.com/realDonaldTrump/status/691072793853632512,"Love making correct predictions. National Review is over. 
 https://t.co/tEHJTl6tNA
 review-doomed",national-review,entity,National Review,33.0,48.0
http://twitter.com/realDonaldTrump/status/691072793853632512,"Love making correct predictions. National Review is over. 
 https://t.co/tEHJTl6tNA
 review-doomed",national-review,insult,over,52.0,56.0
http://twitter.com/realDonaldTrump/status/691742501212983296,Ted Cruz is a nervous wreck. He is making reckless charges not caring for the truth! His poll #'s are way down!,ted-cruz,entity,Ted Cruz,0.0,8.0
http://twitter.com/realDonaldTrump/status/691742501212983296,Ted Cruz is a nervous wreck. He is making reckless charges not caring for the truth! His poll #'s are way down!,ted-cruz,insult,a nervous wreck,12.0,27.0
http://twitter.com/realDonaldTrump/status/691742501212983296,Ted Cruz is a nervous wreck. He is making reckless charges not caring for the truth! His poll #'s are way down!,ted-cruz,insult,not caring for the truth,59.0,83.0
http://twitter.com/realDonaldTrump/status/691742501212983296,Ted Cruz is a nervous wreck. He is making reckless charges not caring for the truth! His poll #'s are way down!,ted-cruz,insult,reckless,42.0,50.0
http://twitter.com/realDonaldTrump/status/691742501212983296,Ted Cruz is a nervous wreck. He is making reckless charges not caring for the truth! His poll #'s are way down!,ted-cruz,insult,reckless,112.0,136.0
http://twitter.com/realDonaldTrump/status/691743052529012736,Cruz going down fast in recent polls- dropping like a rock. Lies never work!,ted-cruz,accusation,dropping like a rock,38.0,58.0
http://twitter.com/realDonaldTrump/status/691743052529012736,Cruz going down fast in recent polls- dropping like a rock. Lies never work!,ted-cruz,entity,Cruz,0.0,4.0
http://twitter.com/realDonaldTrump/status/691743513483026432,Cruz lies are almost as bad as Jeb's. These politicians will do anything to stay at the trough!,jeb-bush,entity,Jeb,31.0,34.0
http://twitter.com/realDonaldTrump/status/691743513483026432,Cruz lies are almost as bad as Jeb's. These politicians will do anything to stay at the trough!,jeb-bush,insult,will do anything to stay at the trough,56.0,94.0
http://twitter.com/realDonaldTrump/status/691743513483026432,Cruz lies are almost as bad as Jeb's. These politicians will do anything to stay at the trough!,ted-cruz,entity,Cruz,0.0,4.0
http://twitter.com/realDonaldTrump/status/691743513483026432,Cruz lies are almost as bad as Jeb's. These politicians will do anything to stay at the trough!,ted-cruz,insult,will do anything to stay at the trough,56.0,94.0
http://twitter.com/realDonaldTrump/status/692000115800825858,"I will end common core. It's a disaster.
 https://t.co/d83XYrqZ3m
 #MakeAmericaGreatAgain #Trump2016 https://t.co/r0Sc6zm80I",common-core,entity,common core,11.0,22.0
http://twitter.com/realDonaldTrump/status/692000115800825858,"I will end common core. It's a disaster.
 https://t.co/d83XYrqZ3m
 #MakeAmericaGreatAgain #Trump2016 https://t.co/r0Sc6zm80I",common-core,insult,a disaster,29.0,39.0
http://twitter.com/realDonaldTrump/status/692012875775414273,Why doesn't phony @bobvanderplaats tell his followers all the times he asked for him and his family to stay at my hotels-didn't like paying,bob-vander-plaats,entity,bob,19.0,22.0
http://twitter.com/realDonaldTrump/status/692012875775414273,Why doesn't phony @bobvanderplaats tell his followers all the times he asked for him and his family to stay at my hotels-didn't like paying,bob-vander-plaats,insult,phony,12.0,17.0
http://twitter.com/realDonaldTrump/status/692045112872820736,".@bobvanderplaats begged me to do an event while asking organizers for $100,000 for himselfâ€”a bad guy!",bob-vander-plaats,entity,bob,2.0,5.0
http://twitter.com/realDonaldTrump/status/692045112872820736,".@bobvanderplaats begged me to do an event while asking organizers for $100,000 for himselfâ€”a bad guy!",bob-vander-plaats,insult,a bad guy!,94.0,104.0
http://twitter.com/realDonaldTrump/status/694558166697271297,The media has not covered my long-shot great finish in Iowa fairly. Brought in record voters and got second highest vote total in history!,the-media,accusation,has not covered my long-shot great finish in Iowa fairly,10.0,66.0
http://twitter.com/realDonaldTrump/status/694558166697271297,The media has not covered my long-shot great finish in Iowa fairly. Brought in record voters and got second highest vote total in history!,the-media,entity,The media,0.0,9.0
http://twitter.com/realDonaldTrump/status/694559410488737793,I will be talking about my wonderful experience in Iowa and the simultaneous unfair treatment by the media-later in New Hampshire. Big crowd,the-media,entity,the media,97.0,106.0
http://twitter.com/realDonaldTrump/status/694559410488737793,I will be talking about my wonderful experience in Iowa and the simultaneous unfair treatment by the media-later in New Hampshire. Big crowd,the-media,insult,unfair,77.0,83.0
http://twitter.com/realDonaldTrump/status/694560681090248704,"I don't believe I have been given any credit by the voters for self-funding my campaign, the only one. I will keep doing, but not worth it!",voters,accusation,I don't believe I have been given any credit by the voters for self-funding my campaign,,
http://twitter.com/realDonaldTrump/status/694560681090248704,"I don't believe I have been given any credit by the voters for self-funding my campaign, the only one. I will keep doing, but not worth it!",voters,entity,voters,52.0,58.0
http://twitter.com/realDonaldTrump/status/694611948940443648,"Anybody who watched all of Ted Cruz's far too long, rambling, overly flamboyant speech last nite would say that was his Howard Dean moment!",ted-cruz-iowa-speech,accusation,"rambling, overly flamboyant",52.0,79.0
http://twitter.com/realDonaldTrump/status/694611948940443648,"Anybody who watched all of Ted Cruz's far too long, rambling, overly flamboyant speech last nite would say that was his Howard Dean moment!",ted-cruz-iowa-speech,entity,Ted,27.0,30.0
http://twitter.com/realDonaldTrump/status/694750254378422272,Great job on @donlemon tonight @kayleighmcenany @cherijacobus begged us for a job. We said no and she went hostile. A real dummy! @CNN,cheri-jacobus,accusation,went hostile,102.0,114.0
http://twitter.com/realDonaldTrump/status/694750254378422272,Great job on @donlemon tonight @kayleighmcenany @cherijacobus begged us for a job. We said no and she went hostile. A real dummy! @CNN,cheri-jacobus,entity,cheri,49.0,54.0
http://twitter.com/realDonaldTrump/status/694750254378422272,Great job on @donlemon tonight @kayleighmcenany @cherijacobus begged us for a job. We said no and she went hostile. A real dummy! @CNN,cheri-jacobus,insult,a real dummy,-1.0,11.0
http://twitter.com/realDonaldTrump/status/694878058633936896,"Ted Cruz didn't win Iowa, he illegally stole it. That is why all of the polls were so wrong any why he got more votes than anticipated. Bad!",ted-cruz,entity,Ted Cruz,0.0,8.0
http://twitter.com/realDonaldTrump/status/694878058633936896,"Ted Cruz didn't win Iowa, he illegally stole it. That is why all of the polls were so wrong any why he got more votes than anticipated. Bad!",ted-cruz,insult,"didn't win Iowa, he illegally stole it",9.0,47.0
http://twitter.com/realDonaldTrump/status/694878058633936896,"Ted Cruz didn't win Iowa, he illegally stole it. That is why all of the polls were so wrong any why he got more votes than anticipated. Bad!",ted-cruz,insult,"didn't win Iowa, he illegally stole it",13.0,58.0
http://twitter.com/realDonaldTrump/status/694884902618165248,"Many people voted for Cruz over Carson because of this Cruz fraud. Also, Cruz sent out a VOTER VIOLATION certificate to thousands of voters.",ted-cruz,entity,ted,14.0,17.0
http://twitter.com/realDonaldTrump/status/694884902618165248,"Many people voted for Cruz over Carson because of this Cruz fraud. Also, Cruz sent out a VOTER VIOLATION certificate to thousands of voters.",ted-cruz,insult,sent out a VOTER VIOLATION certificate to thousands of voters,78.0,139.0
http://twitter.com/realDonaldTrump/status/694884902618165248,"Many people voted for Cruz over Carson because of this Cruz fraud. Also, Cruz sent out a VOTER VIOLATION certificate to thousands of voters.",ted-cruz,insult,sent out a VOTER VIOLATION certificate to thousands of voters,,
http://twitter.com/realDonaldTrump/status/694885775431835648,The Voter Violation certificate gave poor marks to the unsuspecting voter(grade of F) and told them to clear it up by voting for Cruz. Fraud,ted-cruz,entity,Cruz,129.0,133.0
http://twitter.com/realDonaldTrump/status/694885775431835648,The Voter Violation certificate gave poor marks to the unsuspecting voter(grade of F) and told them to clear it up by voting for Cruz. Fraud,ted-cruz,insult,fraud,-1.0,4.0
http://twitter.com/realDonaldTrump/status/694885775431835648,The Voter Violation certificate gave poor marks to the unsuspecting voter(grade of F) and told them to clear it up by voting for Cruz. Fraud,ted-cruz,insult,fraud,72.0,86.0
http://twitter.com/realDonaldTrump/status/694888332099239936,"And finally, Cruz strongly told thousands of caucusgoers (voters) that Trump was strongly in favor of ObamaCare and ""choice"" - a total lie!",ted-cruz,accusation,told thousands of caucusgoers (voters) that Trump was strongly in favor of ObamaCare and 'choice' - a total lie!,-1.0,111.0
http://twitter.com/realDonaldTrump/status/694888332099239936,"And finally, Cruz strongly told thousands of caucusgoers (voters) that Trump was strongly in favor of ObamaCare and ""choice"" - a total lie!",ted-cruz,accusation,told thousands of caucusgoers (voters) that Trump was strongly in favor of ObamaCare and 'choice' - a total lie!,91.0,118.0
http://twitter.com/realDonaldTrump/status/694888332099239936,"And finally, Cruz strongly told thousands of caucusgoers (voters) that Trump was strongly in favor of ObamaCare and ""choice"" - a total lie!",ted-cruz,entity,Cruz,13.0,17.0
http://twitter.com/realDonaldTrump/status/694979360441384960,"Cruz just lied again- I am, and have been totally against #ObamaCare- repeal and replace!",ted-cruz,entity,Cruz,0.0,4.0
http://twitter.com/realDonaldTrump/status/694979360441384960,"Cruz just lied again- I am, and have been totally against #ObamaCare- repeal and replace!",ted-cruz,insult,just lied again,5.0,20.0
http://twitter.com/realDonaldTrump/status/694979360441384960,"Cruz just lied again- I am, and have been totally against #ObamaCare- repeal and replace!",ted-cruz,insult,just lied again,95.0,121.0
http://twitter.com/realDonaldTrump/status/695082204100071424,Sanders says he wants to run against me because he doesn't want to run against me. He would be so easy to beat!,bernie-sanders,entity,Sanders,0.0,7.0
http://twitter.com/realDonaldTrump/status/695082204100071424,Sanders says he wants to run against me because he doesn't want to run against me. He would be so easy to beat!,bernie-sanders,insult,he would be so easy to beat!,-1.0,27.0
http://twitter.com/realDonaldTrump/status/695133044940759040,"Thank you @billoreilly &amp; @KarlRove. Ted Cruz should be immediately disqualified in Iowa, with each candidate moving up one notch.",ted-cruz,accusation,should be immediately disqualified in Iowa,49.0,91.0
http://twitter.com/realDonaldTrump/status/695133044940759040,"Thank you @billoreilly &amp; @KarlRove. Ted Cruz should be immediately disqualified in Iowa, with each candidate moving up one notch.",ted-cruz,entity,Ted Cruz,40.0,48.0
http://twitter.com/realDonaldTrump/status/697869206893756416,Jeb failed as Jeb! He gave up and enlisted Mommy and his brother (who got us into the quicksand of Iraq). Spent $120 million.Weak-no chance!,jeb-bush,accusation,Jeb failed as Jeb,,
http://twitter.com/realDonaldTrump/status/697869206893756416,Jeb failed as Jeb! He gave up and enlisted Mommy and his brother (who got us into the quicksand of Iraq). Spent $120 million.Weak-no chance!,jeb-bush,accusation,gave up and enlisted Mommy and his brother,22.0,64.0
http://twitter.com/realDonaldTrump/status/697869206893756416,Jeb failed as Jeb! He gave up and enlisted Mommy and his brother (who got us into the quicksand of Iraq). Spent $120 million.Weak-no chance!,jeb-bush,entity,Jeb,0.0,3.0
http://twitter.com/realDonaldTrump/status/697869206893756416,Jeb failed as Jeb! He gave up and enlisted Mommy and his brother (who got us into the quicksand of Iraq). Spent $120 million.Weak-no chance!,jeb-bush,insult,Weak,125.0,129.0
http://twitter.com/realDonaldTrump/status/697869206893756416,Jeb failed as Jeb! He gave up and enlisted Mommy and his brother (who got us into the quicksand of Iraq). Spent $120 million.Weak-no chance!,jeb-bush,insult,no chance,130.0,139.0
http://twitter.com/realDonaldTrump/status/697882687923752961,"We are getting reports from many voters that the Cruz people are back to doing very sleazy and dishonest ""pushpolls"" on me. We are watching!",ted-cruz-campaign,accusation,the Cruz people are back to doing very sleazy and dishonest 'pushpolls' on me,-1.0,76.0
http://twitter.com/realDonaldTrump/status/697882687923752961,"We are getting reports from many voters that the Cruz people are back to doing very sleazy and dishonest ""pushpolls"" on me. We are watching!",ted-cruz-campaign,entity,Cruz,49.0,53.0
http://twitter.com/realDonaldTrump/status/703251956198875138,Lying Ted Cruz and lightweight choker Marco Rubio teamed up last night in a last ditch effort to stop our great movement. They failed!,marco-rubio,entity,Marco Rubio,38.0,49.0
http://twitter.com/realDonaldTrump/status/703251956198875138,Lying Ted Cruz and lightweight choker Marco Rubio teamed up last night in a last ditch effort to stop our great movement. They failed!,marco-rubio,insult,lightweight choker,19.0,37.0
http://twitter.com/realDonaldTrump/status/703252241487036417,Lightweight choker Marco Rubio looks like a little boy on stage. Not presidential material!,marco-rubio,entity,Marco Rubio,19.0,30.0
http://twitter.com/realDonaldTrump/status/703252241487036417,Lightweight choker Marco Rubio looks like a little boy on stage. Not presidential material!,marco-rubio,insult,looks like a little boy on stage,31.0,63.0
http://twitter.com/realDonaldTrump/status/703252241487036417,Lightweight choker Marco Rubio looks like a little boy on stage. Not presidential material!,marco-rubio,insult,not presidential material!,-1.0,25.0
http://twitter.com/realDonaldTrump/status/703257866820415488,"Lightweight Marco Rubio was working hard last night. The problem is, he is a choker, and once a choker, always a choker! Mr. Meltdown.",marco-rubio,entity,Marco Rubio,12.0,23.0
http://twitter.com/realDonaldTrump/status/703257866820415488,"Lightweight Marco Rubio was working hard last night. The problem is, he is a choker, and once a choker, always a choker! Mr. Meltdown.",marco-rubio,insult,lightweight,-1.0,10.0
http://twitter.com/realDonaldTrump/status/703257866820415488,"Lightweight Marco Rubio was working hard last night. The problem is, he is a choker, and once a choker, always a choker! Mr. Meltdown.",marco-rubio,insult,"once a choker, always a choker!",89.0,120.0
http://twitter.com/realDonaldTrump/status/703257866820415488,"Lightweight Marco Rubio was working hard last night. The problem is, he is a choker, and once a choker, always a choker! Mr. Meltdown.",marco-rubio,insult,Mr. Meltdown,121.0,133.0
http://twitter.com/realDonaldTrump/status/705565746676551680,"Rubio puts out ad that my pilot was a drug dealer- not true, not my pilot! Guy owned helicopter company- don't think I ever even used.",marco-rubio,entity,Rubio,0.0,5.0
http://twitter.com/realDonaldTrump/status/705565746676551680,"Rubio puts out ad that my pilot was a drug dealer- not true, not my pilot! Guy owned helicopter company- don't think I ever even used.",marco-rubio,insult,"Rubio puts out ad that my pilot was a drug dealer- not true, not my pilot!",,
http://twitter.com/realDonaldTrump/status/710510524031746052,Highly overrated &amp; crazy @megynkelly is always complaining about Trump and yet she devotes her shows to me. Focus on others Megyn!,megyn-kelly,accusation,Highly overrated,,
http://twitter.com/realDonaldTrump/status/710510524031746052,Highly overrated &amp; crazy @megynkelly is always complaining about Trump and yet she devotes her shows to me. Focus on others Megyn!,megyn-kelly,accusation,is always complaining about Trump and yet she devotes her shows to me,41.0,110.0
http://twitter.com/realDonaldTrump/status/710510524031746052,Highly overrated &amp; crazy @megynkelly is always complaining about Trump and yet she devotes her shows to me. Focus on others Megyn!,megyn-kelly,accusation,is always complaining about Trump and yet she devotes her shows to me,20.0,34.0
http://twitter.com/realDonaldTrump/status/710510524031746052,Highly overrated &amp; crazy @megynkelly is always complaining about Trump and yet she devotes her shows to me. Focus on others Megyn!,megyn-kelly,entity,megyn,30.0,35.0
http://twitter.com/realDonaldTrump/status/710510524031746052,Highly overrated &amp; crazy @megynkelly is always complaining about Trump and yet she devotes her shows to me. Focus on others Megyn!,megyn-kelly,insult,crazy,23.0,28.0
http://twitter.com/realDonaldTrump/status/710510524031746052,Highly overrated &amp; crazy @megynkelly is always complaining about Trump and yet she devotes her shows to me. Focus on others Megyn!,megyn-kelly,insult,crazy,20.0,38.0
http://twitter.com/realDonaldTrump/status/710534544865239040,Who should star in a reboot of Liar Liar- Hillary Clinton or Ted Cruz? Let me know. https://t.co/ESdiEftWGs,hillary-clinton,accusation,Who should star in a reboot of Liar Liar- Hillary Clinton or Ted Cruz? Let me know,,
http://twitter.com/realDonaldTrump/status/710534544865239040,Who should star in a reboot of Liar Liar- Hillary Clinton or Ted Cruz? Let me know. https://t.co/ESdiEftWGs,hillary-clinton,entity,Hillary Clinton,42.0,57.0
http://twitter.com/realDonaldTrump/status/710534544865239040,Who should star in a reboot of Liar Liar- Hillary Clinton or Ted Cruz? Let me know. https://t.co/ESdiEftWGs,ted-cruz,accusation,Who should star in a reboot of Liar Liar- Hillary Clinton or Ted Cruz? Let me know,,
http://twitter.com/realDonaldTrump/status/710534544865239040,Who should star in a reboot of Liar Liar- Hillary Clinton or Ted Cruz? Let me know. https://t.co/ESdiEftWGs,ted-cruz,entity,Ted Cruz,61.0,69.0
http://twitter.com/realDonaldTrump/status/710626092114120708,Hillary Clinton has been involved in corruption for most of her professional life!,hillary-clinton,accusation,has been involved in corruption for most of her professional life!,16.0,82.0
http://twitter.com/realDonaldTrump/status/710626092114120708,Hillary Clinton has been involved in corruption for most of her professional life!,hillary-clinton,entity,Hillary Clinton,0.0,15.0
http://twitter.com/realDonaldTrump/status/710868991309443072,Lyin' Ted Cruz lost all five races on Tuesday-and he was just given the jinx - a Lindsey Graham endorsement. Also backed Jeb. Lindsey got 0!,ted-cruz,entity,Ted Cruz,6.0,14.0
http://twitter.com/realDonaldTrump/status/710868991309443072,Lyin' Ted Cruz lost all five races on Tuesday-and he was just given the jinx - a Lindsey Graham endorsement. Also backed Jeb. Lindsey got 0!,ted-cruz,insult,Lyin',,
http://twitter.com/realDonaldTrump/status/710905631008546816,".@EWErickson got fired like a dog from RedState
 and now he is the one leading opposition against me.",erick-erickson,accusation,got fired like a dog from RedState,13.0,47.0
http://twitter.com/realDonaldTrump/status/710905631008546816,".@EWErickson got fired like a dog from RedState
 and now he is the one leading opposition against me.",erick-erickson,entity,Erick,4.0,9.0
http://twitter.com/realDonaldTrump/status/710918088460517376,"Club For Growth tried to extort $1,000,000 from me. When I said NO, they went hostile with negative ads. Disgraceful!",club-for-growth,accusation,"tried to extort $1,000,000 from me",16.0,50.0
http://twitter.com/realDonaldTrump/status/710918088460517376,"Club For Growth tried to extort $1,000,000 from me. When I said NO, they went hostile with negative ads. Disgraceful!",club-for-growth,entity,Club,0.0,4.0
http://twitter.com/realDonaldTrump/status/710918088460517376,"Club For Growth tried to extort $1,000,000 from me. When I said NO, they went hostile with negative ads. Disgraceful!",club-for-growth,insult,Disgraceful!,105.0,117.0
http://twitter.com/realDonaldTrump/status/710920172106850304,"Club for Growth letter- trying to extort $1,000,000.00 from me. Remember, I said- NO! https://t.co/suIfdiMg0Q",club-for-growth,accusation,"trying to extort $1,000,000.00 from me",24.0,62.0
http://twitter.com/realDonaldTrump/status/710920172106850304,"Club for Growth letter- trying to extort $1,000,000.00 from me. Remember, I said- NO! https://t.co/suIfdiMg0Q",club-for-growth,entity,Club,0.0,4.0
http://twitter.com/realDonaldTrump/status/710920670608236544,"Going to Salt Lake City, Utah, for a big rally. Lyin' Ted Cruz should not be allowed to win there - Mormons don't like LIARS! I beat Hillary",ted-cruz,entity,Ted Cruz,54.0,62.0
http://twitter.com/realDonaldTrump/status/710920670608236544,"Going to Salt Lake City, Utah, for a big rally. Lyin' Ted Cruz should not be allowed to win there - Mormons don't like LIARS! I beat Hillary",ted-cruz,insult,Mormons don't like LIARS!,100.0,125.0
http://twitter.com/realDonaldTrump/status/710923287430357001,"Failed presidential candidate Mitt Romney, the man who ""choked"" and let us all down, is now endorsing Lyin' Ted Cruz. This is good for me!",mitt-romney,accusation,Failed presidential candidate,,
http://twitter.com/realDonaldTrump/status/710923287430357001,"Failed presidential candidate Mitt Romney, the man who ""choked"" and let us all down, is now endorsing Lyin' Ted Cruz. This is good for me!",mitt-romney,accusation,the man who ‘choked’ and let us all down,-1.0,39.0
http://twitter.com/realDonaldTrump/status/710923287430357001,"Failed presidential candidate Mitt Romney, the man who ""choked"" and let us all down, is now endorsing Lyin' Ted Cruz. This is good for me!",mitt-romney,entity,Mitt Romney,30.0,41.0
http://twitter.com/realDonaldTrump/status/710924053981188096,"Failed Presidential Candidate Mitt Romney was campaigning with John Kasich &amp; Marco Rubio, and now he is endorsing Ted Cruz. 1/2",mitt-romney,accusation,Failed,,
http://twitter.com/realDonaldTrump/status/710924053981188096,"Failed Presidential Candidate Mitt Romney was campaigning with John Kasich &amp; Marco Rubio, and now he is endorsing Ted Cruz. 1/2",mitt-romney,entity,Mitt Romney,30.0,41.0
http://twitter.com/realDonaldTrump/status/710928141112332288,Mitt Romney is a mixed up man who doesn't have a clue. No wonder he lost!,mitt-romney,accusation,a mixed up man who doesn't have a clue. No wonder he lost!,15.0,73.0
http://twitter.com/realDonaldTrump/status/710928141112332288,Mitt Romney is a mixed up man who doesn't have a clue. No wonder he lost!,mitt-romney,entity,Mitt Romney,0.0,11.0
http://twitter.com/realDonaldTrump/status/710947686879531008,"Everybody should boycott the @megynkelly show. Never worth watching. Always a hit on Trump! She is sick, &amp; the most overrated person on tv.",megyn-kelly,accusation,the most overrated person on tv,111.0,142.0
http://twitter.com/realDonaldTrump/status/710947686879531008,"Everybody should boycott the @megynkelly show. Never worth watching. Always a hit on Trump! She is sick, &amp; the most overrated person on tv.",megyn-kelly,entity,megyn,30.0,35.0
http://twitter.com/realDonaldTrump/status/710947686879531008,"Everybody should boycott the @megynkelly show. Never worth watching. Always a hit on Trump! She is sick, &amp; the most overrated person on tv.",megyn-kelly,insult,Never worth watching,47.0,67.0
http://twitter.com/realDonaldTrump/status/710947686879531008,"Everybody should boycott the @megynkelly show. Never worth watching. Always a hit on Trump! She is sick, &amp; the most overrated person on tv.",megyn-kelly,insult,sick,99.0,103.0
